"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"C K K Retail Mart Limited","SME","-","CKKRETAIL","30-JAN-2026","03-FEB-2026","Rs.155 to Rs.163","-"
"KRM Ayurveda Limited","SME","135","KRMAYURVED","21-JAN-2026","23-JAN-2026","Rs.128 to Rs.135","29-JAN-2026"
"Shadowfax Technologies Limited","EQ","   124","SHADOWFAX","20-JAN-2026","22-JAN-2026","Rs.118 to Rs.124","28-JAN-2026"
"Power Finance Corporation Limited","DEBT","  1000","PFC2026","16-JAN-2026","30-JAN-2026","Rs.1000","04-FEB-2026"
"Power Finance Corporation Limited (Zero Coupon NCD)","DEBT","-","PFCZCB1","16-JAN-2026","30-JAN-2026","Rs.100000","-"
"Power Finance Corporation Limited (Zero Coupon NCD)","DEBT","-","PFCZCB1","16-JAN-2026","30-JAN-2026","Rs.100000","-"
"Power Finance Corporation Limited","DEBT","  1000","PFC2026","16-JAN-2026","30-JAN-2026","Rs.1000","04-FEB-2026"
"Armour Security (India). Ltd","SME","57","ARMOUR","14-JAN-2026","19-JAN-2026","Rs.55 to Rs.57","22-JAN-2026"
"Amagi Media Labs Limited","EQ","   361","AMAGI","13-JAN-2026","16-JAN-2026","Rs.343 to Rs.361","21-JAN-2026"
"Avana Electrosystems Limited","SME","59","AVANA","12-JAN-2026","14-JAN-2026","Rs.56 to Rs.59","20-JAN-2026"
"Bharat Coking Coal Limited","EQ","    23","BHARATCOAL","09-JAN-2026","13-JAN-2026","Rs.21 to Rs.23","19-JAN-2026"
"Victory Electric Vehicles International Limited","SME","41","VICTORYEV","07-JAN-2026","09-JAN-2026","RS.41","14-JAN-2026"
"Adani Enterprises Limited","NI","  1000","AEL12126","06-JAN-2026","08-JAN-2026","Rs.1000","13-JAN-2026"
